reaction,species,species_type,compartment,mass,role,stoich
R_UTGAL,M_adp_c,M_adp,c,424.177502,product,1
R_PGKf,M_adp_f,M_adp,f,424.177502,substrate,1
R_PYKf,M_adp_f,M_adp,f,424.177502,substrate,1
R_AASPh,M_adp_h,M_adp,h,424.177502,product,1
R_ABFPTh,M_adp_h,M_adp,h,424.177502,product,1
R_ACCOAhi,M_adp_h,M_adp,h,424.177502,product,1
R_ACKrh,M_adp_h,M_adp,h,424.177502,product,1
R_AF1PT,M_adp_h,M_adp,h,424.177502,product,1
R_AM6PTh,M_adp_h,M_adp,h,424.177502,product,1
R_APPTh,M_adp_h,M_adp,h,424.177502,product,1
R_ASPK,M_adp_h,M_adp,h,424.177502,product,1
R_ATAMh,M_adp_h,M_adp,h,424.177502,product,2
R_ATDAMh,M_adp_h,M_adp,h,424.177502,product,1
R_ATPSh,M_adp_h,M_adp,h,424.177502,substrate,1
R_ATP_LPAREN_3h_RPAREN_th,M_adp_h,M_adp,h,424.177502,product,1
R_BTNC,M_adp_h,M_adp,h,424.177502,product,1
R_CHLDA1tu,M_adp_h,M_adp,h,424.177502,product,1
R_CHLDA2tu,M_adp_h,M_adp,h,424.177502,product,1
R_CMK,M_adp_h,M_adp,h,424.177502,product,1
R_CPS,M_adp_h,M_adp,h,424.177502,product,2
R_DAGK1601819Zh,M_adp_h,M_adp,h,424.177502,product,1
R_DAGK160h,M_adp_h,M_adp,h,424.177502,product,1
R_DAGK1801819Zh,M_adp_h,M_adp,h,424.177502,product,1
R_DAGK18111Z160h,M_adp_h,M_adp,h,424.177502,product,1
R_DAGK18111Z1819Zh,M_adp_h,M_adp,h,424.177502,product,1
R_DAGK1819Z160h,M_adp_h,M_adp,h,424.177502,product,1
R_DAGK1819Z1619Zh,M_adp_h,M_adp,h,424.177502,product,1
R_DAGK1819Z18111Zh,M_adp_h,M_adp,h,424.177502,product,1
R_DAGK1819Z1819Zh,M_adp_h,M_adp,h,424.177502,product,1
R_GALh,M_adp_h,M_adp,h,424.177502,product,1
R_GALKh,M_adp_h,M_adp,h,424.177502,product,1
R_GCL,M_adp_h,M_adp,h,424.177502,product,1
R_GLUKAh,M_adp_h,M_adp,h,424.177502,product,1
R_GLUKBh,M_adp_h,M_adp,h,424.177502,product,1
R_GLYPT,M_adp_h,M_adp,h,424.177502,product,1
R_GNKh,M_adp_h,M_adp,h,424.177502,product,1
R_GTHS,M_adp_h,M_adp,h,424.177502,product,1
R_HSK,M_adp_h,M_adp,h,424.177502,product,1
R_MPML,M_adp_h,M_adp,h,424.177502,product,1
R_NA1ATPaseh,M_adp_h,M_adp,h,424.177502,product,1
R_PCHLDR,M_adp_h,M_adp,h,424.177502,product,1
R_PFKh,M_adp_h,M_adp,h,424.177502,product,1
R_PGKh,M_adp_h,M_adp,h,424.177502,substrate,1
R_PPRGLh,M_adp_h,M_adp,h,424.177502,product,1
R_PRAISh,M_adp_h,M_adp,h,424.177502,product,1
R_PRFGCLh,M_adp_h,M_adp,h,424.177502,product,1
R_PRFGSh,M_adp_h,M_adp,h,424.177502,product,1
R_PRUK,M_adp_h,M_adp,h,424.177502,product,1
R_SKK,M_adp_h,M_adp,h,424.177502,product,1
R_STARCH300S,M_adp_h,M_adp,h,424.177502,product,300
R_10FTHFGLULLm,M_adp_m,M_adp,m,424.177502,product,1
R_AASPm,M_adp_m,M_adp,m,424.177502,product,1
R_ACKrm,M_adp_m,M_adp,m,424.177502,product,1
R_ADNKm,M_adp_m,M_adp,m,424.177502,product,1
R_APPTm,M_adp_m,M_adp,m,424.177502,product,1
R_ATAMm,M_adp_m,M_adp,m,424.177502,product,2
R_ATCDm,M_adp_m,M_adp,m,424.177502,product,1
R_ATDAMm,M_adp_m,M_adp,m,424.177502,product,1
R_ATDCDm,M_adp_m,M_adp,m,424.177502,product,1
R_ATDGDm,M_adp_m,M_adp,m,424.177502,product,1
R_ATDTDm,M_adp_m,M_adp,m,424.177502,product,1
R_ATDUDm,M_adp_m,M_adp,m,424.177502,product,1
R_ATGDm,M_adp_m,M_adp,m,424.177502,product,1
R_ATIDm,M_adp_m,M_adp,m,424.177502,product,1
R_ATPPHm,M_adp_m,M_adp,m,424.177502,product,1
R_ATPSm,M_adp_m,M_adp,m,424.177502,substrate,1
R_ATP_LPAREN_3h_RPAREN_tm,M_adp_m,M_adp,m,424.177502,substrate,1
R_ATUDm,M_adp_m,M_adp,m,424.177502,product,1
R_FTCL,M_adp_m,M_adp,m,424.177502,product,1
R_GALm,M_adp_m,M_adp,m,424.177502,product,1
R_HCGALm,M_adp_m,M_adp,m,424.177502,product,2
R_MCTC,M_adp_m,M_adp,m,424.177502,product,1
R_NA1ATPasem,M_adp_m,M_adp,m,424.177502,product,1
R_NDPKm,M_adp_m,M_adp,m,424.177502,product,1
R_PGKm,M_adp_m,M_adp,m,424.177502,substrate,1
R_PPCKm,M_adp_m,M_adp,m,424.177502,product,1
R_PYKm,M_adp_m,M_adp,m,424.177502,substrate,1
R_SUCLm,M_adp_m,M_adp,m,424.177502,product,1
R_URCBm,M_adp_m,M_adp,m,424.177502,product,1
R_ADATT,M_adp_n,M_adp,n,424.177502,substrate,1
R_AMITKPn,M_adp_n,M_adp,n,424.177502,product,1
R_AMITPn,M_adp_n,M_adp,n,424.177502,product,1
R_BTP,M_adp_n,M_adp,n,424.177502,product,1
R_BTPS,M_adp_n,M_adp,n,424.177502,product,2
R_ADtr,M_ad_c,M_ad,c,60.07518,product,1
R_AMID,M_ad_c,M_ad,c,60.07518,substrate,1
R_ADtr,M_ad_e,M_ad,e,60.07518,substrate,1
R_EX_ad_LPAREN_e_RPAREN_,M_ad_e,M_ad,e,60.07518,substrate,1
R_AFLBURPPAAMH,M_aflbala_c,M_aflbala,c,107.0836832,product,1
R_56DH5FLURAAMH,M_aflburppa_c,M_aflburppa,c,150.1084632,product,1
R_AFLBURPPAAMH,M_aflburppa_c,M_aflburppa,c,150.1084632,substrate,1
R_AGDI,M_agm_m,M_agm,m,132.2075,substrate,1
R_ARDC,M_agm_m,M_agm,m,132.2075,product,1
R_AGDIn,M_agm_n,M_agm,n,132.2075,substrate,1
R_ADSH,M_ahcys_c,M_ahcys,c,384.41204,substrate,1
R_AHCYStg,M_ahcys_c,M_ahcys,c,384.41204,substrate,1
R_AHCYStn,M_ahcys_c,M_ahcys,c,384.41204,substrate,1
R_AMETt2h,M_ahcys_c,M_ahcys,c,384.41204,substrate,1
R_AMETt2m,M_ahcys_c,M_ahcys,c,384.41204,substrate,1
R_CYARTMT,M_ahcys_c,M_ahcys,c,384.41204,product,1
R_TM16018111Z,M_ahcys_c,M_ahcys,c,384.41204,product,3
R_TM1601819Z,M_ahcys_c,M_ahcys,c,384.41204,product,3
R_TM18111Z18111Z,M_ahcys_c,M_ahcys,c,384.41204,product,3
R_TM18111Z1819Z,M_ahcys_c,M_ahcys,c,384.41204,product,3
R_TM1819Z18111Z,M_ahcys_c,M_ahcys,c,384.41204,product,3
R_TM1819Z1819Z,M_ahcys_c,M_ahcys,c,384.41204,product,3
R_A3MT,M_ahcys_g,M_ahcys,g,384.41204,product,1
R_AHCYStg,M_ahcys_g,M_ahcys,g,384.41204,product,1
R_G6MT1,M_ahcys_g,M_ahcys,g,384.41204,product,1
R_G6MT2,M_ahcys_g,M_ahcys,g,384.41204,product,1
R_AMETt2h,M_ahcys_h,M_ahcys,h,384.41204,product,1
R_MPMT,M_ahcys_h,M_ahcys,h,384.41204,product,1
R_MPQMT,M_ahcys_h,M_ahcys,h,384.41204,product,1
R_TMTB,M_ahcys_h,M_ahcys,h,384.41204,product,1
R_TMTD,M_ahcys_h,M_ahcys,h,384.41204,product,1
R_TMTG,M_ahcys_h,M_ahcys,h,384.41204,product,1
R_UPP3MT,M_ahcys_h,M_ahcys,h,384.41204,product,2
R_ADSHm,M_ahcys_m,M_ahcys,m,384.41204,substrate,1
R_AMETt2m,M_ahcys_m,M_ahcys,m,384.41204,product,1
R_AHCYStn,M_ahcys_n,M_ahcys,n,384.41204,product,1
R_DMT,M_ahcys_n,M_ahcys,n,384.41204,product,1
R_AKP1,M_ahdt_c,M_ahdt,c,490.130823,substrate,1
R_DNTPPA,M_ahdt_c,M_ahdt,c,490.130823,substrate,1
R_GTPCI,M_ahdt_c,M_ahdt,c,490.130823,product,1
R_AIAL,M_aicar_c,M_aicar,c,336.195441,product,1
R_FPAIF,M_aicar_c,M_aicar,c,336.195441,substrate,1
R_IMGPS,M_aicar_c,M_aicar,c,336.195441,product,1
R_IMGPSh,M_aicar_h,M_aicar,h,336.195441,product,1
R_AIRth,M_air_c,M_air,c,294.178601,substrate,1
R_PRAIC,M_air_c,M_air,c,294.178601,substrate,1
R_PRFGCL,M_air_c,M_air,c,294.178601,product,1
R_AIRth,M_air_h,M_air,h,293.170661,product,1
R_PRAICh,M_air_h,M_air,h,293.170661,substrate,1
R_PRFGCLh,M_air_h,M_air,h,293.170661,product,1
R_AKGCITtm,M_akg_c,M_akg,c,144.08226,substrate,1
R_AKGICITtm,M_akg_c,M_akg,c,144.08226,substrate,1
R_AKGMALth,M_akg_c,M_akg,c,144.08226,substrate,1
R_AKG_LPAREN_na_RPAREN_th,M_akg_c,M_akg,c,144.08226,substrate,1
R_AKG_LPAREN_na_RPAREN_tm,M_akg_c,M_akg,c,144.08226,substrate,1
R_ALAAT,M_akg_c,M_akg,c,144.08226,substrate,1
R_AOOA,M_akg_c,M_akg,c,144.08226,substrate,1
R_AOTA,M_akg_c,M_akg,c,144.08226,product,1
R_ASPAT,M_akg_c,M_akg,c,144.08226,substrate,1
R_BCTA,M_akg_c,M_akg,c,144.08226,product,1
R_BCTA_LPAREN_glu_RPAREN_,M_akg_c,M_akg,c,144.08226,substrate,1
R_BCTA_LPAREN_val_RPAREN_,M_akg_c,M_akg,c,144.08226,substrate,1
R_DAPAT,M_akg_c,M_akg,c,144.08226,product,1
R_HYNE,M_akg_c,M_akg,c,144.08226,product,1
R_ICDH,M_akg_c,M_akg,c,144.08226,product,1
R_MALAKGtm,M_akg_c,M_akg,c,144.08226,product,1
R_MOTA,M_akg_c,M_akg,c,144.08226,product,1
R_OAAAKGtm,M_akg_c,M_akg,c,144.08226,product,1
R_POAT,M_akg_c,M_akg,c,144.08226,product,1
R_PROAKGOX1,M_akg_c,M_akg,c,144.08226,substrate,1
R_TAT,M_akg_c,M_akg,c,144.08226,substrate,1
R_TYRTA,M_akg_c,M_akg,c,144.08226,product,1
R_AATC,M_akg_h,M_akg,h,144.08226,substrate,1
R_AATG,M_akg_h,M_akg,h,144.08226,substrate,1
R_AKGMALth,M_akg_h,M_akg,h,144.08226,product,1
R_AKG_LPAREN_na_RPAREN_th,M_akg_h,M_akg,h,144.08226,product,1
R_AOOAh,M_akg_h,M_akg,h,144.08226,substrate,1
R_ASPATh,M_akg_h,M_akg,h,144.08226,substrate,1
R_BCTAh,M_akg_h,M_akg,h,144.08226,product,1
R_BCTA_LPAREN_glu_RPAREN_h,M_akg_h,M_akg,h,144.08226,substrate,1
R_BCTA_LPAREN_val_RPAREN_h,M_akg_h,M_akg,h,144.08226,substrate,1
R_CYSAT,M_akg_h,M_akg,h,144.08226,product,1
R_GDH,M_akg_h,M_akg,h,144.08226,product,1
R_GDH_LPAREN_nadp_RPAREN_,M_akg_h,M_akg,h,144.08226,product,1
R_GLUS,M_akg_h,M_akg,h,144.08226,substrate,1
R_GLUS_LPAREN_ferr_RPAREN_,M_akg_h,M_akg,h,144.08226,substrate,1
R_GLUS_LPAREN_nadph_RPAREN_,M_akg_h,M_akg,h,144.08226,substrate,1
R_ICDHhr,M_akg_h,M_akg,h,144.08226,product,1
R_POATh,M_akg_h,M_akg,h,144.08226,product,1
R_PSAT,M_akg_h,M_akg,h,144.08226,product,1
R_TYRTAh,M_akg_h,M_akg,h,144.08226,product,1
R_AAT,M_akg_m,M_akg,m,144.08226,substrate,1
R_AATCm,M_akg_m,M_akg,m,144.08226,substrate,1
R_AATGm,M_akg_m,M_akg,m,144.08226,substrate,1
R_AKGCITtm,M_akg_m,M_akg,m,144.08226,product,1
R_AKGDHmi,M_akg_m,M_akg,m,144.08226,substrate,1
R_AKGICITtm,M_akg_m,M_akg,m,144.08226,product,1
R_AKG_LPAREN_na_RPAREN_tm,M_akg_m,M_akg,m,144.08226,product,1
R_AOTAm,M_akg_m,M_akg,m,144.08226,product,1
R_ASPATm,M_akg_m,M_akg,m,144.08226,substrate,1
R_BCTA_LPAREN_val_RPAREN_m,M_akg_m,M_akg,m,144.08226,product,1
R_CYSATm,M_akg_m,M_akg,m,144.08226,product,1
R_CYSTAm,M_akg_m,M_akg,m,144.08226,substrate,1
R_GDHm,M_akg_m,M_akg,m,144.08226,product,1
R_GLYTA,M_akg_m,M_akg,m,144.08226,product,1
R_ICDHm,M_akg_m,M_akg,m,144.08226,product,1
R_MALAKGtm,M_akg_m,M_akg,m,144.08226,substrate,1
R_OAAAKGtm,M_akg_m,M_akg,m,144.08226,substrate,1
R_ORNTArm,M_akg_m,M_akg,m,144.08226,substrate,1
R_POATm,M_akg_m,M_akg,m,144.08226,product,1
R_TYRTAm,M_akg_m,M_akg,m,144.08226,product,1
R_APLh,M_alac_S_h,M_alac_S,h,131.10668,product,1
R_DMORh,M_alac_S_h,M_alac_S,h,131.10668,substrate,1
R_KARI_LPAREN_3hmoa_RPAREN_,M_alac_S_h,M_alac_S,h,131.10668,substrate,1
R_PPATDh,M_alac_S_h,M_alac_S,h,131.10668,product,1
R_APLm,M_alac_S_m,M_alac_S,m,131.10668,product,1
R_DMORm,M_alac_S_m,M_alac_S,m,131.10668,substrate,1
R_PPATDm,M_alac_S_m,M_alac_S,m,131.10668,product,1
R_ALABth,M_ala_B_c,M_ala_B,c,89.09322,substrate,1
R_ALABtm,M_ala_B_c,M_ala_B,c,89.09322,substrate,1
R_BADP,M_ala_B_c,M_ala_B,c,89.09322,product,1
R_BUPN,M_ala_B_c,M_ala_B,c,89.09322,product,1
R_PBAL,M_ala_B_c,M_ala_B,c,89.09322,substrate,1
R_ALABth,M_ala_B_h,M_ala_B,h,89.09322,product,1
R_APOR,M_ala_B_h,M_ala_B,h,89.09322,product,1
R_HIDP,M_ala_B_h,M_ala_B,h,89.09322,product,1
R_ALABtm,M_ala_B_m,M_ala_B,m,89.09322,product,1
R_PBALm,M_ala_B_m,M_ala_B,m,89.09322,substrate,1
R_ALAAT,M_ala_L_c,M_ala_L,c,89.09322,substrate,1
R_ALANA1tm,M_ala_L_c,M_ala_L,c,89.09322,substrate,1
R_ALANA1tx,M_ala_L_c,M_ala_L,c,89.09322,substrate,1
R_ALAtm,M_ala_L_c,M_ala_L,c,89.09322,substrate,1
R_ALAtx,M_ala_L_c,M_ala_L,c,89.09322,substrate,1
R_Biomass_Chlamy_auto,M_ala_L_c,M_ala_L,c,89.09322,substrate,0.273746717
R_Biomass_Chlamy_hetero,M_ala_L_c,M_ala_L,c,89.09322,substrate,0.309071177
R_Biomass_Chlamy_mixo,M_ala_L_c,M_ala_L,c,89.09322,substrate,0.279255295
R_SELCYSLY2,M_ala_L_c,M_ala_L,c,89.09322,product,1
R_SPTA,M_ala_L_c,M_ala_L,c,89.09322,product,1
R_AAT,M_ala_L_m,M_ala_L,m,89.09322,substrate,1
R_AGAT,M_ala_L_m,M_ala_L,m,89.09322,substrate,1
R_ALANA1tm,M_ala_L_m,M_ala_L,m,89.09322,product,1
R_ALATL,M_ala_L_m,M_ala_L,m,89.09322,substrate,1
R_ALAtm,M_ala_L_m,M_ala_L,m,89.09322,product,1
R_AGATx,M_ala_L_x,M_ala_L,x,89.09322,substrate,1
R_ALANA1tx,M_ala_L_x,M_ala_L,x,89.09322,product,1
R_ALAtx,M_ala_L_x,M_ala_L,x,89.09322,product,1
R_ALPH,M_allphn_c,M_allphn,c,103.0569,substrate,1
R_URCB,M_allphn_c,M_allphn,c,103.0569,product,1
R_ALPHm,M_allphn_m,M_allphn,m,103.0569,substrate,1
R_URCBm,M_allphn_m,M_allphn,m,103.0569,product,1
R_ALLTNt,M_alltn_c,M_alltn,c,157.10766,product,1
R_ALLTNtm,M_alltn_c,M_alltn,c,157.10766,substrate,1
R_ALLTNt,M_alltn_e,M_alltn,e,157.10766,substrate,1
R_EX_alltn_LPAREN_e_RPAREN_,M_alltn_e,M_alltn,e,157.10766,substrate,1
R_ALLTNtm,M_alltn_m,M_alltn,m,156.09972,product,1
R_ATNAH,M_alltn_m,M_alltn,m,156.09972,substrate,1
R_ATS,M_alltn_m,M_alltn,m,156.09972,product,1
R_ALLTTt,M_alltt_c,M_alltt,c,175.12294,product,1
R_ALLTTtm,M_alltt_c,M_alltt,c,175.12294,substrate,1
R_ALLTTt,M_alltt_e,M_alltt,e,175.12294,substrate,1
R_EX_alltt_LPAREN_e_RPAREN_,M_alltt_e,M_alltt,e,175.12294,substrate,1
R_ALLTTtm,M_alltt_m,M_alltt,m,175.12294,product,1
R_ATAH,M_alltt_m,M_alltt,m,175.12294,substrate,1
R_ATAH_LPAREN_co2_RPAREN_,M_alltt_m,M_alltt,m,175.12294,substrate,1
R_ATNAH,M_alltt_m,M_alltt,m,175.12294,product,1
R_AMCL,M_ametam_c,M_ametam,c,356.445,product,1
R_AMETAMth,M_ametam_c,M_ametam,c,356.445,substrate,1
R_AMETAMtm,M_ametam_c,M_ametam,c,356.445,substrate,1
R_APAPT,M_ametam_c,M_ametam,c,356.445,substrate,1
R_AMETAMth,M_ametam_h,M_ametam,h,356.445,product,1
R_ASAPT,M_ametam_h,M_ametam,h,356.445,product,1
R_AMETAMtm,M_ametam_m,M_ametam,m,356.445,product,1
R_APAPTm,M_ametam_m,M_ametam,m,356.445,substrate,1
R_ACPCS,M_amet_c,M_amet,c,399.44656,substrate,1
R_ACPT16018111Z,M_amet_c,M_amet,c,399.44656,substrate,1
R_ACPT1601819Z,M_amet_c,M_amet,c,399.44656,substrate,1
R_ACPT18111Z18111Z,M_amet_c,M_amet,c,399.44656,substrate,1
R_ACPT18111Z1819Z,M_amet_c,M_amet,c,399.44656,substrate,1
R_ACPT1819Z18111Z,M_amet_c,M_amet,c,399.44656,substrate,1
R_ACPT1819Z1819Z,M_amet_c,M_amet,c,399.44656,substrate,1
R_AMCL,M_amet_c,M_amet,c,399.44656,substrate,1
R_AMETt2h,M_amet_c,M_amet,c,399.44656,product,1
R_AMETt2m,M_amet_c,M_amet,c,399.44656,product,1
R_AMETtg,M_amet_c,M_amet,c,399.44656,substrate,1
R_AMETtn,M_amet_c,M_amet,c,399.44656,substrate,1
R_CYARTMT,M_amet_c,M_amet,c,399.44656,substrate,1
R_MAT,M_amet_c,M_amet,c,399.44656,product,1
R_TM16018111Z,M_amet_c,M_amet,c,399.44656,substrate,3
R_TM1601819Z,M_amet_c,M_amet,c,399.44656,substrate,3
R_TM18111Z18111Z,M_amet_c,M_amet,c,399.44656,substrate,3
R_TM18111Z1819Z,M_amet_c,M_amet,c,399.44656,substrate,3
R_TM1819Z18111Z,M_amet_c,M_amet,c,399.44656,substrate,3
R_TM1819Z1819Z,M_amet_c,M_amet,c,399.44656,substrate,3
R_A3MT,M_amet_g,M_amet,g,399.44656,substrate,1
R_AMETtg,M_amet_g,M_amet,g,399.44656,product,1
R_G6MT1,M_amet_g,M_amet,g,399.44656,substrate,1
R_G6MT2,M_amet_g,M_amet,g,399.44656,substrate,1
R_AMETt2h,M_amet_h,M_amet,h,399.44656,substrate,1
R_MPMT,M_amet_h,M_amet,h,399.44656,substrate,1
R_MPQMT,M_amet_h,M_amet,h,399.44656,substrate,1
R_TMTB,M_amet_h,M_amet,h,399.44656,substrate,1
R_TMTD,M_amet_h,M_amet,h,399.44656,substrate,1
R_TMTG,M_amet_h,M_amet,h,399.44656,substrate,1
R_UPP3MT,M_amet_h,M_amet,h,399.44656,substrate,2
R_AMETt2m,M_amet_m,M_amet,m,399.44656,substrate,1
R_MATm,M_amet_m,M_amet,m,399.44656,product,1
R_AMETtn,M_amet_n,M_amet,n,399.44656,product,1
R_DMT,M_amet_n,M_amet,n,399.44656,substrate,1
R_6TXAN5MPAML,M_amp_c,M_amp,c,345.205541,product,1
R_AAL_LPAREN_fum_RPAREN_,M_amp_c,M_amp,c,345.205541,product,1
R_ACS,M_amp_c,M_amp,c,345.205541,product,1
R_ADNK,M_amp_c,M_amp,c,345.205541,product,1
R_ADPA,M_amp_c,M_amp,c,345.205541,product,1
R_AMP5N,M_amp_c,M_amp,c,345.205541,substrate,1
R_AMPD,M_amp_c,M_amp,c,345.205541,substrate,1
R_AMPth,M_amp_c,M_amp,c,345.205541,substrate,1
R_AMPtn,M_amp_c,M_amp,c,345.205541,substrate,1
R_APN,M_amp_c,M_amp,c,345.205541,product,1
R_APPRT,M_amp_c,M_amp,c,345.205541,product,1
R_ARDP,M_amp_c,M_amp,c,345.205541,product,1
R_ARGSS,M_amp_c,M_amp,c,345.205541,product,1
R_ARGT,M_amp_c,M_amp,c,345.205541,product,1
R_ASPS,M_amp_c,M_amp,c,345.205541,product,1
R_ATAM,M_amp_c,M_amp,c,345.205541,substrate,1
R_BPNT,M_amp_c,M_amp,c,345.205541,product,1
R_CACOAL,M_amp_c,M_amp,c,345.205541,product,1
R_CYSTL,M_amp_c,M_amp,c,345.205541,product,1
R_DNGAL,M_amp_c,M_amp,c,345.205541,product,1
R_DNNH,M_amp_c,M_amp,c,345.205541,product,1
R_FACOAL160,M_amp_c,M_amp,c,345.205541,product,1
R_FACOAL180,M_amp_c,M_amp,c,345.205541,product,1
R_FACOAL181,M_amp_c,M_amp,c,345.205541,product,1
R_FACOAL18111Z,M_amp_c,M_amp,c,345.205541,product,1
R_GLNTL,M_amp_c,M_amp,c,345.205541,product,1
R_GLUTL,M_amp_c,M_amp,c,345.205541,product,1
R_GLYTL,M_amp_c,M_amp,c,345.205541,product,1
R_GMPS,M_amp_c,M_amp,c,345.205541,product,1
R_GMPS_LPAREN_glu_RPAREN_,M_amp_c,M_amp,c,345.205541,product,1
R_GTHAMPOR,M_amp_c,M_amp,c,345.205541,substrate,1
R_GTPDPK,M_amp_c,M_amp,c,345.205541,product,1
R_HISTL,M_amp_c,M_amp,c,345.205541,product,1
R_HPPK,M_amp_c,M_amp,c,345.205541,product,1
R_ILETL,M_amp_c,M_amp,c,345.205541,product,1
R_LEUTL,M_amp_c,M_amp,c,345.205541,product,1
R_LNLCCOAL,M_amp_c,M_amp,c,345.205541,product,1
R_LNLNCACOAL,M_amp_c,M_amp,c,345.205541,product,1
R_LNLNCGCOAL,M_amp_c,M_amp,c,345.205541,product,1
R_METTL,M_amp_c,M_amp,c,345.205541,product,1
R_NADS1,M_amp_c,M_amp,c,345.205541,product,1
R_NPH,M_amp_c,M_amp,c,345.205541,product,1
R_PACOAL,M_amp_c,M_amp,c,345.205541,product,1
R_PBAL,M_amp_c,M_amp,c,345.205541,product,1
R_PPACOAL,M_amp_c,M_amp,c,345.205541,product,1
R_PPCL,M_amp_c,M_amp,c,345.205541,product,1
R_PROTL,M_amp_c,M_amp,c,345.205541,product,1
R_R5PDP,M_amp_c,M_amp,c,345.205541,product,1
R_SERTL,M_amp_c,M_amp,c,345.205541,product,1
R_THRTL,M_amp_c,M_amp,c,345.205541,product,1
R_TRPTL,M_amp_c,M_amp,c,345.205541,product,1
R_TYRTL,M_amp_c,M_amp,c,345.205541,product,1
R_VALTL,M_amp_c,M_amp,c,345.205541,product,1
R_AACP1819ZS,M_amp_h,M_amp,h,345.205541,product,1
R_AACPS1,M_amp_h,M_amp,h,345.205541,product,1
R_AACPS3,M_amp_h,M_amp,h,345.205541,product,1
R_AACPS4,M_amp_h,M_amp,h,345.205541,product,1
R_AACPS5,M_amp_h,M_amp,h,345.205541,product,1
R_AACPS6,M_amp_h,M_amp,h,345.205541,product,1
R_AMPth,M_amp_h,M_amp,h,345.205541,product,1
R_ATAMh,M_amp_h,M_amp,h,345.205541,substrate,1
R_DNGALh,M_amp_h,M_amp,h,345.205541,product,1
R_GLUTRS,M_amp_h,M_amp,h,345.205541,product,1
R_GTHAMPORh,M_amp_h,M_amp,h,345.205541,substrate,1
R_PPACOALh,M_amp_h,M_amp,h,345.205541,product,1
R_PPDKh,M_amp_h,M_amp,h,345.205541,product,1
R_RPDPK,M_amp_h,M_amp,h,345.205541,product,1
R_VALTLh,M_amp_h,M_amp,h,345.205541,product,1
R_ADNKm,M_amp_m,M_amp,m,345.205541,product,1
R_ALATL,M_amp_m,M_amp,m,345.205541,product,1
R_ASNTL,M_amp_m,M_amp,m,345.205541,product,1
R_ASPTL,M_amp_m,M_amp,m,345.205541,product,1
R_ATAMm,M_amp_m,M_amp,m,345.205541,substrate,1
R_GLYTLm,M_amp_m,M_amp,m,345.205541,product,1
R_GMPSm,M_amp_m,M_amp,m,345.205541,product,1
R_GMPS_LPAREN_glu_RPAREN_m,M_amp_m,M_amp,m,345.205541,product,1
R_GTHAMPORm,M_amp_m,M_amp,m,345.205541,substrate,1
R_LYSTL,M_amp_m,M_amp,m,345.205541,product,1
R_PACPT,M_amp_m,M_amp,m,345.205541,product,1
R_PBALm,M_amp_m,M_amp,m,345.205541,product,1
R_PHETL,M_amp_m,M_amp,m,345.205541,product,1
R_PPACOALm,M_amp_m,M_amp,m,345.205541,product,1
R_SECYSTL,M_amp_m,M_amp,m,345.205541,product,1
R_SLDK,M_amp_m,M_amp,m,345.205541,product,1
R_THRTLm,M_amp_m,M_amp,m,345.205541,product,1
R_AMPtn,M_amp_n,M_amp,n,345.205541,product,1
R_APNn,M_amp_n,M_amp,n,345.205541,product,1
R_BTP,M_amp_n,M_amp,n,345.205541,product,1
R_BADP,M_ans_c,M_ans,c,240.2592,substrate,1
R_ANTPPT,M_anth_h,M_anth,h,136.12808,substrate,1
R_ATNS,M_anth_h,M_anth,h,136.12808,product,1
R_ATNS_LPAREN_nh4_RPAREN_,M_anth_h,M_anth,h,136.12808,product,1
R_ANXANASCOR,M_anxan_u,M_anxan,u,584.87084,substrate,1
R_ANXANOR,M_anxan_u,M_anxan,u,584.87084,substrate,1
R_Biomass_Chlamy_auto,M_anxan_u,M_anxan,u,584.87084,substrate,0.000100836
R_Biomass_Chlamy_hetero,M_anxan_u,M_anxan,u,584.87084,substrate,1.59E-08
R_Biomass_Chlamy_mixo,M_anxan_u,M_anxan,u,584.87084,substrate,7.91E-07
R_VIOXANOR,M_anxan_u,M_anxan,u,584.87084,product,1
R_ZAXANOR,M_anxan_u,M_anxan,u,584.87084,product,1
R_ADATT,M_ap4a_n,M_ap4a,n,832.355604,product,1
R_APATT,M_ap4a_n,M_ap4a,n,832.355604,product,1
R_BTPS,M_ap4a_n,M_ap4a,n,832.355604,substrate,1
R_BTP,M_apppa_n,M_apppa,n,753.383643,substrate,1
R_AASP,M_aps_c,M_aps,c,425.269741,substrate,1
R_APStn,M_aps_c,M_aps,c,425.269741,substrate,1
R_BPNT2,M_aps_c,M_aps,c,425.269741,product,1
R_GTHAMPOR,M_aps_c,M_aps,c,425.269741,product,1
R_SUAT,M_aps_c,M_aps,c,425.269741,product,1
R_AASPh,M_aps_h,M_aps,h,425.269741,substrate,1
R_GTHAMPORh,M_aps_h,M_aps,h,425.269741,product,1
R_AASPm,M_aps_m,M_aps,m,425.269741,substrate,1
R_GTHAMPORm,M_aps_m,M_aps,m,425.269741,product,1
R_APATT,M_aps_n,M_aps,n,425.269741,substrate,1
R_APStn,M_aps_n,M_aps,n,425.269741,product,1
R_AAPT,M_arab_L_c,M_arab_L,c,150.1299,substrate,1
R_Biomass_Chlamy_auto,M_arab_L_c,M_arab_L,c,150.1299,substrate,0.524141413
R_Biomass_Chlamy_hetero,M_arab_L_c,M_arab_L,c,150.1299,substrate,0.524141413
